DisNo.,Year,Month,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Total Deaths,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",Location
2007-0050-IDN,2007,Januari,Natural,Hydrological,Flood,Riverine flood,68,217087,971000,1370524,Banten
2007-0067-IDN,2007,Februari,Natural,Biological,Epidemic,Infectious disease (General),22,357,0,0,Jakarta
2007-0086-IDN,2007,Maret,Natural,Hydrological,Flood,Flash flood,74,11556,0,0,Nusa Tenggara Timur
2007-0087-IDN,2007,Maret,Natural,Geophysical,Earthquake,Ground movement,67,137660,200000,282291,Sumatera Barat
2007-0088-IDN,2007,Maret,Technological,Transport,Air,Air,22,50,0,0,Yogyakarta
2007-0090-IDN,2007,Februari,Technological,Transport,Water,Water,77,38092,0,0,Jakarta
2007-0175-IDN,2007,Mei,Natural,Hydrological,Flood,Riverine flood,4,60000,0,0,Kalimantan Timur
2007-0259-IDN,2007,Juli,Natural,Geophysical,Volcanic activity,Ash fall,12,9758,0,0,Maluku Utara
2007-0272-IDN,2007,Juli,Technological,Transport,Water,Water,47,15682,0,0,Maluku
2007-0274-IDN,2007,Juli,Natural,Biological,Epidemic,Viral disease,365,34542,0,0,Jakarta
2007-0283-IDN,2007,Juli,Natural,Hydrological,Flood,Riverine flood,58,5000,0,0,Sulawesi Tengah
2007-0309-IDN,2007,Juli,Natural,Hydrological,Flood,Riverine flood,15,2000,0,0,Sulawesi Selatan
2007-0312-IDN,2007,Juli,Natural,Hydrological,Flood,Riverine flood,88,3389,0,0,Sulawesi Tengah
2007-0440-IDN,2007,September,Natural,Geophysical,Earthquake,Ground movement,25,459567,500000,705728,Sumatera Barat
2007-0440-IDN,2007,September,Natural,Geophysical,Earthquake,Ground movement,25,459567,500000,705728,Bengkulu
2007-0440-IDN,2007,September,Natural,Geophysical,Earthquake,Ground movement,25,459567,500000,705728,Riau
2007-0440-IDN,2007,September,Natural,Geophysical,Earthquake,Ground movement,25,459567,500000,705728,Jambi
2007-0447-IDN,2007,September,Natural,Hydrological,Flood,Flood (General),4,1000,0,0,Kalimantan Timur
2007-0485-IDN,2007,September,Natural,Geophysical,Earthquake,Ground movement,7,469,0,0,Jawa Timur
2007-0511-IDN,2007,Oktober,Natural,Geophysical,Volcanic activity,Ash fall,33,22154,0,0,Jawa Timur
2007-0565-IDN,2007,November,Natural,Geophysical,Earthquake,Ground movement,3,21800,0,0,Nusa Tenggara Barat
2007-0610-IDN,2007,Desember,Natural,Hydrological,Flood,Riverine flood,127,269515,0,0,Jawa Tengah
2007-0610-IDN,2007,Desember,Natural,Hydrological,Flood,Riverine flood,127,269515,0,0,Jawa Timur
2007-0610-IDN,2007,Desember,Natural,Hydrological,Flood,Riverine flood,127,269515,0,0,Sumatera Barat
2007-0626-IDN,2007,Desember,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),50,11885,0,0,Jawa Timur
2007-0651-IDN,2007,Februari,Natural,Biological,Epidemic,Viral disease,16,312,0,0,Jakarta
2007-0651-IDN,2007,Februari,Natural,Biological,Epidemic,Viral disease,16,312,0,0,Banten
2007-0651-IDN,2007,Februari,Natural,Biological,Epidemic,Viral disease,16,312,0,0,Jawa Barat
2007-0702-IDN,2007,Oktober,Technological,Transport,Water,Water,60,20,0,0,Sulawesi Tenggara
2007-0704-IDN,2007,Oktober,Technological,Transport,Water,Water,30,41787,0,0,Sulawesi Tengah
2008-0013-IDN,2008,Januari,Natural,Hydrological,Flood,Riverine flood,3,1000,0,0,Jawa Barat
2008-0013-IDN,2008,Januari,Natural,Hydrological,Flood,Riverine flood,3,1000,0,0,Jakarta
2008-0013-IDN,2008,Januari,Natural,Hydrological,Flood,Riverine flood,3,1000,0,0,Banten
2008-0042-IDN,2008,Februari,Natural,Hydrological,Flood,Riverine flood,3,89761,0,0,Jakarta
2008-0052-IDN,2008,Januari,Natural,Hydrological,Flood,Riverine flood,3,40000,653,888,Jawa Timur
2008-0067-IDN,2008,Februari,Natural,Hydrological,Flood,Flash flood,14,7000,0,0,Jawa Timur
2008-0071-IDN,2008,Februari,Natural,Geophysical,Earthquake,Ground movement,3,25,0,0,Aceh
2008-0092-IDN,2008,Februari,Natural,Hydrological,Flood,Riverine flood,11,3500,0,0,Jawa Tengah
2008-0092-IDN,2008,Februari,Natural,Hydrological,Flood,Riverine flood,11,3500,0,0,Nusa Tenggara Timur
2008-0108-IDN,2008,Maret,Natural,Hydrological,Flood,Riverine flood,3,12000,0,0,Jawa Tengah
2008-0108-IDN,2008,Maret,Natural,Hydrological,Flood,Riverine flood,3,12000,0,0,Jawa Timur
2008-0128-IDN,2008,Maret,Natural,Hydrological,Flood,Riverine flood,406,60000,0,0,Riau
2008-0162-IDN,2008,April,Natural,Geophysical,Volcanic activity,Ash fall,7,600,0,0,Nusa Tenggara Timur
2008-0176-IDN,2008,April,Natural,Hydrological,Flood,Flash flood,288,34514,0,0,Aceh
2008-0189-IDN,2008,Mei,Natural,Hydrological,Mass movement (wet),Landslide (wet),21,40307,0,0,Papua
2008-0312-IDN,2008,Juli,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),16,85767,0,0,Papua
2008-0383-IDN,2008,September,Natural,Hydrological,Flood,Riverine flood,16,118000,1080,1468,Jawa Barat
2008-0383-IDN,2008,September,Natural,Hydrological,Flood,Riverine flood,16,118000,1080,1468,Sulawesi Selatan
2008-0383-IDN,2008,September,Natural,Hydrological,Flood,Riverine flood,16,118000,1080,1468,Kalimantan Selatan
2008-0383-IDN,2008,September,Natural,Hydrological,Flood,Riverine flood,16,118000,1080,1468,Riau
2008-0383-IDN,2008,September,Natural,Hydrological,Flood,Riverine flood,16,118000,1080,1468,Maluku
2008-0383-IDN,2008,September,Natural,Hydrological,Flood,Riverine flood,16,118000,1080,1468,Gorontalo
2008-0383-IDN,2008,September,Natural,Hydrological,Flood,Riverine flood,16,118000,1080,1468,Kalimantan Timur
2008-0403-IDN,2008,September,Natural,Geophysical,Earthquake,Ground movement,2,625,0,0,Sumatera Selatan
2008-0407-IDN,2008,September,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),21,11,0,0,Jawa Timur
2008-0502-IDN,2008,Oktober,Technological,Industrial accident,Collapse (Industrial),Collapse (Industrial),25,262620,0,0,Sulawesi Utara
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Sumatera Barat
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Bengkulu
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Sulawesi Selatan
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Sulawesi Tengah
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Sulawesi Barat
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Sulawesi Tenggara
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Jawa Barat
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Jawa Tengah
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Jawa Timur
2008-0526-IDN,2008,November,Natural,Hydrological,Flood,Riverine flood,33,84420,0,0,Kalimantan Timur
2008-0536-IDN,2008,November,Natural,Geophysical,Earthquake,Ground movement,6,10077,0,0,Sulawesi Tengah
2008-0536-IDN,2008,November,Natural,Geophysical,Earthquake,Ground movement,6,10077,0,0,Gorontalo
2008-0618-IDN,2008,Oktober,Natural,Hydrological,Flood,Riverine flood,5,11000,0,0,Jawa Barat
2008-0618-IDN,2008,Oktober,Natural,Hydrological,Flood,Riverine flood,5,11000,0,0,Jawa Tengah
2008-0618-IDN,2008,Oktober,Natural,Hydrological,Flood,Riverine flood,5,11000,0,0,Banten
2008-0618-IDN,2008,Oktober,Natural,Hydrological,Flood,Riverine flood,5,11000,0,0,Sumatera Selatan
2008-0618-IDN,2008,Oktober,Natural,Hydrological,Flood,Riverine flood,5,11000,0,0,Kalimantan Barat
2008-0618-IDN,2008,Oktober,Natural,Hydrological,Flood,Riverine flood,5,11000,0,0,Bengkulu
2008-0618-IDN,2008,Oktober,Natural,Hydrological,Flood,Riverine flood,5,11000,0,0,Bali
2008-0618-IDN,2008,Oktober,Natural,Hydrological,Flood,Riverine flood,5,11000,0,0,Gorontalo
2008-0635-IDN,2008,Desember,Natural,Hydrological,Flood,Riverine flood,24,15000,0,0,Nusa Tenggara Barat
2009-0001-IDN,2009,Januari,Natural,Geophysical,Earthquake,Ground movement,5,4250,10000,13641,Papua
2009-0020-IDN,2009,Januari,Technological,Transport,Water,Water,247,34,0,0,Kalimantan Timur
2009-0032-IDN,2009,Januari,Technological,Transport,Water,Water,28,3533,0,0,Sumatera Selatan
2009-0049-IDN,2009,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),15,5,0,0,Nusa Tenggara Barat
2009-0063-IDN,2009,Januari,Natural,Hydrological,Flood,Flash flood,18,12000,0,0,Jawa Timur
2009-0063-IDN,2009,Januari,Natural,Hydrological,Flood,Flash flood,18,12000,0,0,Sulawesi Selatan
2009-0112-IDN,2009,Februari,Natural,Geophysical,Earthquake,Ground movement,11,3049,9000,12277,Sulawesi Utara
2009-0121-IDN,2009,Maret,Natural,Hydrological,Flood,Riverine flood,64,1600,0,0,Banten
2009-0135-IDN,2009,April,Technological,Transport,Air,Air,24,264762,0,0,Jawa Tengah
2009-0154-IDN,2009,April,Technological,Transport,Air,Air,11,34817,0,0,Papua
2009-0196-IDN,2009,Mei,Technological,Transport,Air,Air,100,15,0,0,Jawa Timur
2009-0208-IDN,2009,Mei,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),25,262620,0,0,Bali
2009-0231-IDN,2009,Juni,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),41,12005,0,0,Sumatera Barat
2009-0352-IDN,2009,September,Natural,Hydrological,Flood,Flash flood,38,10000,0,0,Sumatera Selatan
2009-0354-IDN,2009,September,Natural,Geophysical,Earthquake,Ground movement,128,339792,160000,218260,Jawa Barat
2009-0354-IDN,2009,September,Natural,Geophysical,Earthquake,Ground movement,128,339792,160000,218260,Jawa Tengah
2009-0354-IDN,2009,September,Natural,Geophysical,Earthquake,Ground movement,128,339792,160000,218260,Jakarta
2009-0421-IDN,2009,September,Natural,Geophysical,Earthquake,Ground movement,1195,2501798,2200000,3001070,Sumatera Barat
2009-0421-IDN,2009,September,Natural,Geophysical,Earthquake,Ground movement,1195,2501798,2200000,3001070,Jambi
2009-0436-IDN,2009,Oktober,Natural,Hydrological,Flood,Flash flood,2,2500,0,0,Sulawesi Tengah
2009-0479-IDN,2009,November,Natural,Geophysical,Earthquake,Ground movement,2,1510,2430,3315,Nusa Tenggara Barat
2009-0480-IDN,2009,November,Natural,Hydrological,Mass movement (wet),Landslide (wet),14,17239,0,0,Sulawesi Selatan
2009-0520-IDN,2009,November,Technological,Transport,Water,Water,46,245,0,0,Jawa Tengah
2009-0533-IDN,2009,Desember,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),20,13,0,0,Sumatera Selatan
2009-0540-IDN,2009,Desember,Natural,Hydrological,Flood,Flash flood,6,704,0,0,Sulawesi Utara
2010-0026-IDN,2010,Januari,Natural,Hydrological,Flood,Riverine flood,5,28500,0,0,Jawa Timur
2010-0034-IDN,2010,Januari,Natural,Hydrological,Flood,Flash flood,10,355,0,0,Sulawesi Tenggara
2010-0075-IDN,2010,Februari,Natural,Hydrological,Flood,Riverine flood,44,100,0,0,Jawa Barat
2010-0213-IDN,2010,Juni,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),12,25,0,0,Sumatera Barat
